"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"5-14 years"	"5-14"	"2021"	"2021"	"Female"	"F"	0	310800	Unreliable
	"Alabama"	"01"	"5-14 years"	"5-14"	"2021"	"2021"	"Male"	"M"	12	323428	Unreliable
	"Alabama"	"01"	"5-14 years"	"5-14"	"2022 "	"2022"	"Female"	"F"	0	305605	Unreliable
	"Alabama"	"01"	"5-14 years"	"5-14"	"2022 "	"2022"	"Male"	"M"	Suppressed	318115	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"2018"	"2018"	"Female"	"F"	Suppressed	317261	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"2018"	"2018"	"Male"	"M"	54	323639	16.7
	"Alabama"	"01"	"15-24 years"	"15-24"	"2019"	"2019"	"Female"	"F"	11	315228	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"2019"	"2019"	"Male"	"M"	49	320479	15.3
	"Alabama"	"01"	"15-24 years"	"15-24"	"2020"	"2020"	"Female"	"F"	15	314320	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"2020"	"2020"	"Male"	"M"	56	319071	17.6
	"Alabama"	"01"	"15-24 years"	"15-24"	"2021"	"2021"	"Female"	"F"	Suppressed	324253	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"2021"	"2021"	"Male"	"M"	69	328462	21.0
	"Alabama"	"01"	"15-24 years"	"15-24"	"2022 "	"2022"	"Female"	"F"	Suppressed	342016	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"2022 "	"2022"	"Male"	"M"	60	347548	17.3
	"Alabama"	"01"	"25-34 years"	"25-34"	"2018"	"2018"	"Female"	"F"	13	326143	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"2018"	"2018"	"Male"	"M"	70	317397	22.1
	"Alabama"	"01"	"25-34 years"	"25-34"	"2019"	"2019"	"Female"	"F"	11	327364	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"2019"	"2019"	"Male"	"M"	60	319865	18.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2020"	"2020"	"Female"	"F"	10	328597	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"2020"	"2020"	"Male"	"M"	77	321949	23.9
	"Alabama"	"01"	"25-34 years"	"25-34"	"2021"	"2021"	"Female"	"F"	14	332525	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"2021"	"2021"	"Male"	"M"	103	323898	31.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2022 "	"2022"	"Female"	"F"	Suppressed	330780	Suppressed
	"Alabama"	"01"	"25-34 years"	"25-34"	"2022 "	"2022"	"Male"	"M"	80	327125	24.5
	"Alabama"	"01"	"35-44 years"	"35-44"	"2018"	"2018"	"Female"	"F"	19	305364	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"2018"	"2018"	"Male"	"M"	68	286938	23.7
	"Alabama"	"01"	"35-44 years"	"35-44"	"2019"	"2019"	"Female"	"F"	24	306726	7.8
	"Alabama"	"01"	"35-44 years"	"35-44"	"2019"	"2019"	"Male"	"M"	63	286580	22.0
	"Alabama"	"01"	"35-44 years"	"35-44"	"2020"	"2020"	"Female"	"F"	22	308698	7.1
	"Alabama"	"01"	"35-44 years"	"35-44"	"2020"	"2020"	"Male"	"M"	64	287664	22.2
	"Alabama"	"01"	"35-44 years"	"35-44"	"2021"	"2021"	"Female"	"F"	10	319622	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"2021"	"2021"	"Male"	"M"	55	301703	18.2
	"Alabama"	"01"	"35-44 years"	"35-44"	"2022 "	"2022"	"Female"	"F"	16	318302	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"2022 "	"2022"	"Male"	"M"	72	303546	23.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"2018"	"2018"	"Female"	"F"	23	323103	7.1
	"Alabama"	"01"	"45-54 years"	"45-54"	"2018"	"2018"	"Male"	"M"	60	304355	19.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"2019"	"2019"	"Female"	"F"	19	317909	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"2019"	"2019"	"Male"	"M"	67	298707	22.4
	"Alabama"	"01"	"45-54 years"	"45-54"	"2020"	"2020"	"Female"	"F"	13	313969	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"2020"	"2020"	"Male"	"M"	55	294205	18.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"2021"	"2021"	"Female"	"F"	23	318246	7.2
	"Alabama"	"01"	"45-54 years"	"45-54"	"2021"	"2021"	"Male"	"M"	75	303948	24.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"2022 "	"2022"	"Female"	"F"	21	315029	6.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"2022 "	"2022"	"Male"	"M"	90	302768	29.7
	"Alabama"	"01"	"55-64 years"	"55-64"	"2018"	"2018"	"Female"	"F"	15	343624	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"2018"	"2018"	"Male"	"M"	81	311555	26.0
	"Alabama"	"01"	"55-64 years"	"55-64"	"2019"	"2019"	"Female"	"F"	18	344792	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"2019"	"2019"	"Male"	"M"	67	312875	21.4
	"Alabama"	"01"	"55-64 years"	"55-64"	"2020"	"2020"	"Female"	"F"	21	344359	6.1
	"Alabama"	"01"	"55-64 years"	"55-64"	"2020"	"2020"	"Male"	"M"	50	312922	16.0
	"Alabama"	"01"	"55-64 years"	"55-64"	"2021"	"2021"	"Female"	"F"	15	348142	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"2021"	"2021"	"Male"	"M"	99	324231	30.5
	"Alabama"	"01"	"55-64 years"	"55-64"	"2022 "	"2022"	"Female"	"F"	17	339944	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"2022 "	"2022"	"Male"	"M"	76	318486	23.9
	"Alabama"	"01"	"65-74 years"	"65-74"	"2018"	"2018"	"Female"	"F"	11	263223	Unreliable
	"Alabama"	"01"	"65-74 years"	"65-74"	"2018"	"2018"	"Male"	"M"	68	224498	30.3
	"Alabama"	"01"	"65-74 years"	"65-74"	"2019"	"2019"	"Female"	"F"	11	270914	Unreliable
	"Alabama"	"01"	"65-74 years"	"65-74"	"2019"	"2019"	"Male"	"M"	66	230533	28.6
	"Alabama"	"01"	"65-74 years"	"65-74"	"2020"	"2020"	"Female"	"F"	Suppressed	280345	Suppressed
	"Alabama"	"01"	"65-74 years"	"65-74"	"2020"	"2020"	"Male"	"M"	68	237372	28.6
	"Alabama"	"01"	"65-74 years"	"65-74"	"2021"	"2021"	"Female"	"F"	15	291012	Unreliable
	"Alabama"	"01"	"65-74 years"	"65-74"	"2021"	"2021"	"Male"	"M"	64	250932	25.5
	"Alabama"	"01"	"65-74 years"	"65-74"	"2022 "	"2022"	"Female"	"F"	Suppressed	290974	Suppressed
	"Alabama"	"01"	"65-74 years"	"65-74"	"2022 "	"2022"	"Male"	"M"	67	249908	26.8
	"Alabama"	"01"	"75-84 years"	"75-84"	"2018"	"2018"	"Female"	"F"	Suppressed	143316	Suppressed
	"Alabama"	"01"	"75-84 years"	"75-84"	"2018"	"2018"	"Male"	"M"	33	105992	31.1
	"Alabama"	"01"	"75-84 years"	"75-84"	"2019"	"2019"	"Female"	"F"	Suppressed	147551	Suppressed
	"Alabama"	"01"	"75-84 years"	"75-84"	"2019"	"2019"	"Male"	"M"	44	109296	40.3
	"Alabama"	"01"	"75-84 years"	"75-84"	"2020"	"2020"	"Female"	"F"	Suppressed	151147	Suppressed
	"Alabama"	"01"	"75-84 years"	"75-84"	"2020"	"2020"	"Male"	"M"	58	112521	51.5
	"Alabama"	"01"	"75-84 years"	"75-84"	"2021"	"2021"	"Female"	"F"	Suppressed	149086	Suppressed
	"Alabama"	"01"	"75-84 years"	"75-84"	"2021"	"2021"	"Male"	"M"	35	112585	31.1
	"Alabama"	"01"	"75-84 years"	"75-84"	"2022 "	"2022"	"Female"	"F"	Suppressed	160007	Suppressed
	"Alabama"	"01"	"75-84 years"	"75-84"	"2022 "	"2022"	"Male"	"M"	59	120473	49.0
	"Alabama"	"01"	"85+ years"	"85+"	"2018"	"2018"	"Female"	"F"	Suppressed	59732	Suppressed
	"Alabama"	"01"	"85+ years"	"85+"	"2018"	"2018"	"Male"	"M"	20	30133	66.4
	"Alabama"	"01"	"85+ years"	"85+"	"2019"	"2019"	"Female"	"F"	Suppressed	60221	Suppressed
	"Alabama"	"01"	"85+ years"	"85+"	"2019"	"2019"	"Male"	"M"	20	31322	63.9
	"Alabama"	"01"	"85+ years"	"85+"	"2020"	"2020"	"Female"	"F"	0	60932	Unreliable
	"Alabama"	"01"	"85+ years"	"85+"	"2020"	"2020"	"Male"	"M"	16	31927	Unreliable
	"Alabama"	"01"	"85+ years"	"85+"	"2021"	"2021"	"Female"	"F"	0	55651	Unreliable
	"Alabama"	"01"	"85+ years"	"85+"	"2021"	"2021"	"Male"	"M"	21	29551	71.1
	"Alabama"	"01"	"85+ years"	"85+"	"2022 "	"2022"	"Female"	"F"	Suppressed	62199	Suppressed
	"Alabama"	"01"	"85+ years"	"85+"	"2022 "	"2022"	"Male"	"M"	18	31172	Unreliable
	"Alabama"	"01"	"Not Stated"	"NS"	"2018"	"2018"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2018"	"2018"	"Male"	"M"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2019"	"2019"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2019"	"2019"	"Male"	"M"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2020"	"2020"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2020"	"2020"	"Male"	"M"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2021"	"2021"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2021"	"2021"	"Male"	"M"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2022 "	"2022"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2022 "	"2022"	"Male"	"M"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"< 1 year"	"1"	"2018"	"2018"	"Female"	"F"	0	5215	Unreliable
	"Alaska"	"02"	"< 1 year"	"1"	"2018"	"2018"	"Male"	"M"	0	5450	Unreliable
	"Alaska"	"02"	"< 1 year"	"1"	"2019"	"2019"	"Female"	"F"	0	4881	Unreliable
	"Alaska"	"02"	"< 1 year"	"1"	"2019"	"2019"	"Male"	"M"	0	5097	Unreliable
	"Alaska"	"02"	"< 1 year"	"1"	"2020"	"2020"	"Female"	"F"	0	4748	Unreliable
	"Alaska"	"02"	"< 1 year"	"1"	"2020"	"2020"	"Male"	"M"	0	4958	Unreliable
	"Alaska"	"02"	"< 1 year"	"1"	"2021"	"2021"	"Female"	"F"	0	4439	Unreliable
	"Alaska"	"02"	"< 1 year"	"1"	"2021"	"2021"	"Male"	"M"	0	4797	Unreliable
	"Alaska"	"02"	"< 1 year"	"1"	"2022 "	"2022"	"Female"	"F"	0	4698	Unreliable
	"Alaska"	"02"	"< 1 year"	"1"	"2022 "	"2022"	"Male"	"M"	0	4792	Unreliable
	"Alaska"	"02"	"1-4 years"	"1-4"	"2018"	"2018"	"Female"	"F"	0	20818	Unreliable
	"Alaska"	"02"	"1-4 years"	"1-4"	"2018"	"2018"	"Male"	"M"	0	21632	Unreliable
	"Alaska"	"02"	"1-4 years"	"1-4"	"2019"	"2019"	"Female"	"F"	0	20046	Unreliable
	"Alaska"	"02"	"1-4 years"	"1-4"	"2019"	"2019"	"Male"	"M"	0	21056	Unreliable
	"Alaska"	"02"	"1-4 years"	"1-4"	"2020"	"2020"	"Female"	"F"	0	19348	Unreliable
	"Alaska"	"02"	"1-4 years"	"1-4"	"2020"	"2020"	"Male"	"M"	0	20695	Unreliable
	"Alaska"	"02"	"1-4 years"	"1-4"	"2021"	"2021"	"Female"	"F"	0	18929	Unreliable
	"Alaska"	"02"	"1-4 years"	"1-4"	"2021"	"2021"	"Male"	"M"	0	19946	Unreliable
	"Alaska"	"02"	"1-4 years"	"1-4"	"2022 "	"2022"	"Female"	"F"	0	18310	Unreliable
	"Alaska"	"02"	"1-4 years"	"1-4"	"2022 "	"2022"	"Male"	"M"	0	19005	Unreliable
	"Alaska"	"02"	"5-14 years"	"5-14"	"2018"	"2018"	"Female"	"F"	Suppressed	49377	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"2018"	"2018"	"Male"	"M"	0	52438	Unreliable
	"Alaska"	"02"	"5-14 years"	"5-14"	"2019"	"2019"	"Female"	"F"	0	48858	Unreliable
	"Alaska"	"02"	"5-14 years"	"5-14"	"2019"	"2019"	"Male"	"M"	Suppressed	51804	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"2020"	"2020"	"Female"	"F"	Suppressed	48968	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"2020"	"2020"	"Male"	"M"	Suppressed	51705	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"2021"	"2021"	"Female"	"F"	0	49691	Unreliable
	"Alaska"	"02"	"5-14 years"	"5-14"	"2021"	"2021"	"Male"	"M"	0	52674	Unreliable
	"Alaska"	"02"	"5-14 years"	"5-14"	"2022 "	"2022"	"Female"	"F"	Suppressed	49077	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"2022 "	"2022"	"Male"	"M"	Suppressed	51714	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"2018"	"2018"	"Female"	"F"	Suppressed	44601	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"2018"	"2018"	"Male"	"M"	20	54662	36.6
	"Alaska"	"02"	"15-24 years"	"15-24"	"2019"	"2019"	"Female"	"F"	Suppressed	43419	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"2019"	"2019"	"Male"	"M"	25	52974	47.2
	"Alaska"	"02"	"15-24 years"	"15-24"	"2020"	"2020"	"Female"	"F"	Suppressed	42840	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"2020"	"2020"	"Male"	"M"	22	52559	41.9
	"Alaska"	"02"	"15-24 years"	"15-24"	"2021"	"2021"	"Female"	"F"	Suppressed	43028	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"2021"	"2021"	"Male"	"M"	34	52756	64.4
	"Alaska"	"02"	"15-24 years"	"15-24"	"2022 "	"2022"	"Female"	"F"	Suppressed	43376	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"2022 "	"2022"	"Male"	"M"	21	53968	38.9
	"Alaska"	"02"	"25-34 years"	"25-34"	"2018"	"2018"	"Female"	"F"	Suppressed	55763	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"2018"	"2018"	"Male"	"M"	17	63102	Unreliable
	"Alaska"	"02"	"25-34 years"	"25-34"	"2019"	"2019"	"Female"	"F"	Suppressed	55083	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"2019"	"2019"	"Male"	"M"	22	62505	35.2
	"Alaska"	"02"	"25-34 years"	"25-34"	"2020"	"2020"	"Female"	"F"	Suppressed	54341	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"2020"	"2020"	"Male"	"M"	30	61967	48.4
	"Alaska"	"02"	"25-34 years"	"25-34"	"2021"	"2021"	"Female"	"F"	Suppressed	53229	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"2021"	"2021"	"Male"	"M"	30	60325	49.7
	"Alaska"	"02"	"25-34 years"	"25-34"	"2022 "	"2022"	"Female"	"F"	Suppressed	52400	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"2022 "	"2022"	"Male"	"M"	16	60839	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"2018"	"2018"	"Female"	"F"	Suppressed	45225	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"2018"	"2018"	"Male"	"M"	11	49425	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"2019"	"2019"	"Female"	"F"	Suppressed	45800	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"2019"	"2019"	"Male"	"M"	11	49965	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"2020"	"2020"	"Female"	"F"	Suppressed	46881	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"2020"	"2020"	"Male"	"M"	10	51260	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"2021"	"2021"	"Female"	"F"	Suppressed	48018	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"2021"	"2021"	"Male"	"M"	22	53639	41.0
	"Alaska"	"02"	"35-44 years"	"35-44"	"2022 "	"2022"	"Female"	"F"	Suppressed	48445	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"2022 "	"2022"	"Male"	"M"	20	55134	36.3
	"Alaska"	"02"	"45-54 years"	"45-54"	"2018"	"2018"	"Female"	"F"	0	42122	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"2018"	"2018"	"Male"	"M"	12	45995	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"2019"	"2019"	"Female"	"F"	Suppressed	40632	Suppressed
	"Alaska"	"02"	"45-54 years"	"45-54"	"2019"	"2019"	"Male"	"M"	14	44498	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"2020"	"2020"	"Female"	"F"	Suppressed	39860	Suppressed
	"Alaska"	"02"	"45-54 years"	"45-54"	"2020"	"2020"	"Male"	"M"	13	43616	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"2021"	"2021"	"Female"	"F"	Suppressed	39164	Suppressed
	"Alaska"	"02"	"45-54 years"	"45-54"	"2021"	"2021"	"Male"	"M"	Suppressed	43999	Suppressed
	"Alaska"	"02"	"45-54 years"	"45-54"	"2022 "	"2022"	"Female"	"F"	0	38629	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"2022 "	"2022"	"Male"	"M"	15	44344	Unreliable
	"Alaska"	"02"	"55-64 years"	"55-64"	"2018"	"2018"	"Female"	"F"	Suppressed	45975	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"2018"	"2018"	"Male"	"M"	15	48627	Unreliable
	"Alaska"	"02"	"55-64 years"	"55-64"	"2019"	"2019"	"Female"	"F"	Suppressed	45269	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"2019"	"2019"	"Male"	"M"	18	48070	Unreliable
	"Alaska"	"02"	"55-64 years"	"55-64"	"2020"	"2020"	"Female"	"F"	Suppressed	44296	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"2020"	"2020"	"Male"	"M"	13	47240	Unreliable
	"Alaska"	"02"	"55-64 years"	"55-64"	"2021"	"2021"	"Female"	"F"	Suppressed	43150	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"2021"	"2021"	"Male"	"M"	Suppressed	47226	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"2022 "	"2022"	"Female"	"F"	Suppressed	41431	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"2022 "	"2022"	"Male"	"M"	Suppressed	45810	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"2018"	"2018"	"Female"	"F"	Suppressed	28361	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"2018"	"2018"	"Male"	"M"	Suppressed	30194	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"2019"	"2019"	"Female"	"F"	Suppressed	29793	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"2019"	"2019"	"Male"	"M"	Suppressed	31507	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"2020"	"2020"	"Female"	"F"	Suppressed	31364	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"2020"	"2020"	"Male"	"M"	12	32794	Unreliable
	"Alaska"	"02"	"65-74 years"	"65-74"	"2021"	"2021"	"Female"	"F"	Suppressed	32325	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"2021"	"2021"	"Male"	"M"	11	34101	Unreliable
	"Alaska"	"02"	"65-74 years"	"65-74"	"2022 "	"2022"	"Female"	"F"	0	32851	Unreliable
	"Alaska"	"02"	"65-74 years"	"65-74"	"2022 "	"2022"	"Male"	"M"	11	34425	Unreliable
	"Alaska"	"02"	"75-84 years"	"75-84"	"2018"	"2018"	"Female"	"F"	Suppressed	11149	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"2018"	"2018"	"Male"	"M"	Suppressed	10454	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"2019"	"2019"	"Female"	"F"	0	11906	Unreliable
	"Alaska"	"02"	"75-84 years"	"75-84"	"2019"	"2019"	"Male"	"M"	Suppressed	11201	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"2020"	"2020"	"Female"	"F"	0	12489	Unreliable
	"Alaska"	"02"	"75-84 years"	"75-84"	"2020"	"2020"	"Male"	"M"	Suppressed	11890	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"2021"	"2021"	"Female"	"F"	Suppressed	12429	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"2021"	"2021"	"Male"	"M"	Suppressed	12070	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"2022 "	"2022"	"Female"	"F"	0	13875	Unreliable
	"Alaska"	"02"	"75-84 years"	"75-84"	"2022 "	"2022"	"Male"	"M"	Suppressed	13132	Suppressed
	"Alaska"	"02"	"85+ years"	"85+"	"2018"	"2018"	"Female"	"F"	0	4259	Unreliable
	"Alaska"	"02"	"85+ years"	"85+"	"2018"	"2018"	"Male"	"M"	Suppressed	2594	Suppressed
	"Alaska"	"02"	"85+ years"	"85+"	"2019"	"2019"	"Female"	"F"	0	4440	Unreliable
	"Alaska"	"02"	"85+ years"	"85+"	"2019"	"2019"	"Male"	"M"	Suppressed	2741	Suppressed
	"Alaska"	"02"	"85+ years"	"85+"	"2020"	"2020"	"Female"	"F"	0	4486	Unreliable
	"Alaska"	"02"	"85+ years"	"85+"	"2020"	"2020"	"Male"	"M"	0	2853	Unreliable
	"Alaska"	"02"	"85+ years"	"85+"	"2021"	"2021"	"Female"	"F"	0	4067	Unreliable
	"Alaska"	"02"	"85+ years"	"85+"	"2021"	"2021"	"Male"	"M"	Suppressed	2671	Suppressed
	"Alaska"	"02"	"85+ years"	"85+"	"2022 "	"2022"	"Female"	"F"	0	4544	Unreliable
	"Alaska"	"02"	"85+ years"	"85+"	"2022 "	"2022"	"Male"	"M"	Suppressed	2784	Suppressed
	"Alaska"	"02"	"Not Stated"	"NS"	"2018"	"2018"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2018"	"2018"	"Male"	"M"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2019"	"2019"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2019"	"2019"	"Male"	"M"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2020"	"2020"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2020"	"2020"	"Male"	"M"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2021"	"2021"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2021"	"2021"	"Male"	"M"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2022 "	"2022"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2022 "	"2022"	"Male"	"M"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"< 1 year"	"1"	"2018"	"2018"	"Female"	"F"	0	40794	Unreliable
	"Arizona"	"04"	"< 1 year"	"1"	"2018"	"2018"	"Male"	"M"	0	42759	Unreliable
	"Arizona"	"04"	"< 1 year"	"1"	"2019"	"2019"	"Female"	"F"	0	40021	Unreliable
