"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"2021"	"2021"	10	319622	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"2022 "	"2022"	16	318302	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"2018"	"2018"	68	286938	23.7
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"2019"	"2019"	63	286580	22.0
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"2020"	"2020"	64	287664	22.2
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"2021"	"2021"	55	301703	18.2
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"2022 "	"2022"	72	303546	23.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"2018"	"2018"	23	323103	7.1
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"2019"	"2019"	19	317909	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"2020"	"2020"	13	313969	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"2021"	"2021"	23	318246	7.2
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"2022 "	"2022"	21	315029	6.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"2018"	"2018"	60	304355	19.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"2019"	"2019"	67	298707	22.4
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"2020"	"2020"	55	294205	18.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"2021"	"2021"	75	303948	24.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"2022 "	"2022"	90	302768	29.7
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"2018"	"2018"	15	343624	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"2019"	"2019"	18	344792	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"2020"	"2020"	21	344359	6.1
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"2021"	"2021"	15	348142	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"2022 "	"2022"	17	339944	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"2018"	"2018"	81	311555	26.0
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"2019"	"2019"	67	312875	21.4
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"2020"	"2020"	50	312922	16.0
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"2021"	"2021"	99	324231	30.5
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"2022 "	"2022"	76	318486	23.9
	"Alabama"	"01"	"65-74 years"	"65-74"	"Female"	"F"	"2018"	"2018"	11	263223	Unreliable
	"Alabama"	"01"	"65-74 years"	"65-74"	"Female"	"F"	"2019"	"2019"	11	270914	Unreliable
	"Alabama"	"01"	"65-74 years"	"65-74"	"Female"	"F"	"2020"	"2020"	Suppressed	280345	Suppressed
	"Alabama"	"01"	"65-74 years"	"65-74"	"Female"	"F"	"2021"	"2021"	15	291012	Unreliable
	"Alabama"	"01"	"65-74 years"	"65-74"	"Female"	"F"	"2022 "	"2022"	Suppressed	290974	Suppressed
	"Alabama"	"01"	"65-74 years"	"65-74"	"Male"	"M"	"2018"	"2018"	68	224498	30.3
	"Alabama"	"01"	"65-74 years"	"65-74"	"Male"	"M"	"2019"	"2019"	66	230533	28.6
	"Alabama"	"01"	"65-74 years"	"65-74"	"Male"	"M"	"2020"	"2020"	68	237372	28.6
	"Alabama"	"01"	"65-74 years"	"65-74"	"Male"	"M"	"2021"	"2021"	64	250932	25.5
	"Alabama"	"01"	"65-74 years"	"65-74"	"Male"	"M"	"2022 "	"2022"	67	249908	26.8
	"Alabama"	"01"	"75-84 years"	"75-84"	"Female"	"F"	"2018"	"2018"	Suppressed	143316	Suppressed
	"Alabama"	"01"	"75-84 years"	"75-84"	"Female"	"F"	"2019"	"2019"	Suppressed	147551	Suppressed
	"Alabama"	"01"	"75-84 years"	"75-84"	"Female"	"F"	"2020"	"2020"	Suppressed	151147	Suppressed
	"Alabama"	"01"	"75-84 years"	"75-84"	"Female"	"F"	"2021"	"2021"	Suppressed	149086	Suppressed
	"Alabama"	"01"	"75-84 years"	"75-84"	"Female"	"F"	"2022 "	"2022"	Suppressed	160007	Suppressed
	"Alabama"	"01"	"75-84 years"	"75-84"	"Male"	"M"	"2018"	"2018"	33	105992	31.1
	"Alabama"	"01"	"75-84 years"	"75-84"	"Male"	"M"	"2019"	"2019"	44	109296	40.3
	"Alabama"	"01"	"75-84 years"	"75-84"	"Male"	"M"	"2020"	"2020"	58	112521	51.5
	"Alabama"	"01"	"75-84 years"	"75-84"	"Male"	"M"	"2021"	"2021"	35	112585	31.1
	"Alabama"	"01"	"75-84 years"	"75-84"	"Male"	"M"	"2022 "	"2022"	59	120473	49.0
	"Alaska"	"02"	"5-14 years"	"5-14"	"Female"	"F"	"2018"	"2018"	Suppressed	49377	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"Female"	"F"	"2019"	"2019"	0	48858	Unreliable
	"Alaska"	"02"	"5-14 years"	"5-14"	"Female"	"F"	"2020"	"2020"	Suppressed	48968	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"Female"	"F"	"2021"	"2021"	0	49691	Unreliable
	"Alaska"	"02"	"5-14 years"	"5-14"	"Female"	"F"	"2022 "	"2022"	Suppressed	49077	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"Male"	"M"	"2018"	"2018"	0	52438	Unreliable
	"Alaska"	"02"	"5-14 years"	"5-14"	"Male"	"M"	"2019"	"2019"	Suppressed	51804	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"Male"	"M"	"2020"	"2020"	Suppressed	51705	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"Male"	"M"	"2021"	"2021"	0	52674	Unreliable
	"Alaska"	"02"	"5-14 years"	"5-14"	"Male"	"M"	"2022 "	"2022"	Suppressed	51714	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	Suppressed	44601	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"Female"	"F"	"2019"	"2019"	Suppressed	43419	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"Female"	"F"	"2020"	"2020"	Suppressed	42840	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	Suppressed	43028	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"Female"	"F"	"2022 "	"2022"	Suppressed	43376	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"Male"	"M"	"2018"	"2018"	20	54662	36.6
	"Alaska"	"02"	"15-24 years"	"15-24"	"Male"	"M"	"2019"	"2019"	25	52974	47.2
	"Alaska"	"02"	"15-24 years"	"15-24"	"Male"	"M"	"2020"	"2020"	22	52559	41.9
	"Alaska"	"02"	"15-24 years"	"15-24"	"Male"	"M"	"2021"	"2021"	34	52756	64.4
	"Alaska"	"02"	"15-24 years"	"15-24"	"Male"	"M"	"2022 "	"2022"	21	53968	38.9
	"Alaska"	"02"	"25-34 years"	"25-34"	"Female"	"F"	"2018"	"2018"	Suppressed	55763	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"Female"	"F"	"2019"	"2019"	Suppressed	55083	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"Female"	"F"	"2020"	"2020"	Suppressed	54341	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"Female"	"F"	"2021"	"2021"	Suppressed	53229	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"Female"	"F"	"2022 "	"2022"	Suppressed	52400	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"2018"	"2018"	17	63102	Unreliable
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"2019"	"2019"	22	62505	35.2
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"2020"	"2020"	30	61967	48.4
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"2021"	"2021"	30	60325	49.7
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"2022 "	"2022"	16	60839	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"Female"	"F"	"2018"	"2018"	Suppressed	45225	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"Female"	"F"	"2019"	"2019"	Suppressed	45800	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"Female"	"F"	"2020"	"2020"	Suppressed	46881	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"Female"	"F"	"2021"	"2021"	Suppressed	48018	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"Female"	"F"	"2022 "	"2022"	Suppressed	48445	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"2018"	"2018"	11	49425	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"2019"	"2019"	11	49965	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"2020"	"2020"	10	51260	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"2021"	"2021"	22	53639	41.0
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"2022 "	"2022"	20	55134	36.3
	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	"2018"	"2018"	0	42122	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	"2019"	"2019"	Suppressed	40632	Suppressed
	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	"2020"	"2020"	Suppressed	39860	Suppressed
	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	"2021"	"2021"	Suppressed	39164	Suppressed
	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	"2022 "	"2022"	0	38629	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"2018"	"2018"	12	45995	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"2019"	"2019"	14	44498	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"2020"	"2020"	13	43616	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"2021"	"2021"	Suppressed	43999	Suppressed
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"2022 "	"2022"	15	44344	Unreliable
	"Alaska"	"02"	"55-64 years"	"55-64"	"Female"	"F"	"2018"	"2018"	Suppressed	45975	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"Female"	"F"	"2019"	"2019"	Suppressed	45269	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"Female"	"F"	"2020"	"2020"	Suppressed	44296	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"Female"	"F"	"2021"	"2021"	Suppressed	43150	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"Female"	"F"	"2022 "	"2022"	Suppressed	41431	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	"2018"	"2018"	15	48627	Unreliable
	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	"2019"	"2019"	18	48070	Unreliable
	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	"2020"	"2020"	13	47240	Unreliable
	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	"2021"	"2021"	Suppressed	47226	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	"2022 "	"2022"	Suppressed	45810	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"Female"	"F"	"2018"	"2018"	Suppressed	28361	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"Female"	"F"	"2019"	"2019"	Suppressed	29793	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"Female"	"F"	"2020"	"2020"	Suppressed	31364	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"Female"	"F"	"2021"	"2021"	Suppressed	32325	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"Female"	"F"	"2022 "	"2022"	0	32851	Unreliable
	"Alaska"	"02"	"65-74 years"	"65-74"	"Male"	"M"	"2018"	"2018"	Suppressed	30194	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"Male"	"M"	"2019"	"2019"	Suppressed	31507	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"Male"	"M"	"2020"	"2020"	12	32794	Unreliable
	"Alaska"	"02"	"65-74 years"	"65-74"	"Male"	"M"	"2021"	"2021"	11	34101	Unreliable
	"Alaska"	"02"	"65-74 years"	"65-74"	"Male"	"M"	"2022 "	"2022"	11	34425	Unreliable
	"Alaska"	"02"	"75-84 years"	"75-84"	"Female"	"F"	"2018"	"2018"	Suppressed	11149	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"Female"	"F"	"2019"	"2019"	0	11906	Unreliable
	"Alaska"	"02"	"75-84 years"	"75-84"	"Female"	"F"	"2020"	"2020"	0	12489	Unreliable
	"Alaska"	"02"	"75-84 years"	"75-84"	"Female"	"F"	"2021"	"2021"	Suppressed	12429	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"Female"	"F"	"2022 "	"2022"	0	13875	Unreliable
	"Alaska"	"02"	"75-84 years"	"75-84"	"Male"	"M"	"2018"	"2018"	Suppressed	10454	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"Male"	"M"	"2019"	"2019"	Suppressed	11201	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"Male"	"M"	"2020"	"2020"	Suppressed	11890	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"Male"	"M"	"2021"	"2021"	Suppressed	12070	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"Male"	"M"	"2022 "	"2022"	Suppressed	13132	Suppressed
	"Arizona"	"04"	"5-14 years"	"5-14"	"Female"	"F"	"2018"	"2018"	0	455058	Unreliable
	"Arizona"	"04"	"5-14 years"	"5-14"	"Female"	"F"	"2019"	"2019"	Suppressed	456421	Suppressed
	"Arizona"	"04"	"5-14 years"	"5-14"	"Female"	"F"	"2020"	"2020"	Suppressed	459378	Suppressed
	"Arizona"	"04"	"5-14 years"	"5-14"	"Female"	"F"	"2021"	"2021"	0	451127	Unreliable
	"Arizona"	"04"	"5-14 years"	"5-14"	"Female"	"F"	"2022 "	"2022"	0	440830	Unreliable
	"Arizona"	"04"	"5-14 years"	"5-14"	"Male"	"M"	"2018"	"2018"	Suppressed	473089	Suppressed
	"Arizona"	"04"	"5-14 years"	"5-14"	"Male"	"M"	"2019"	"2019"	Suppressed	474324	Suppressed
	"Arizona"	"04"	"5-14 years"	"5-14"	"Male"	"M"	"2020"	"2020"	Suppressed	477682	Suppressed
	"Arizona"	"04"	"5-14 years"	"5-14"	"Male"	"M"	"2021"	"2021"	Suppressed	471494	Suppressed
	"Arizona"	"04"	"5-14 years"	"5-14"	"Male"	"M"	"2022 "	"2022"	Suppressed	460678	Suppressed
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	10	467659	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"2019"	"2019"	11	472432	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"2020"	"2020"	11	479710	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	12	474376	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"2022 "	"2022"	Suppressed	491282	Suppressed
	"Arizona"	"04"	"15-24 years"	"15-24"	"Male"	"M"	"2018"	"2018"	94	498311	18.9
	"Arizona"	"04"	"15-24 years"	"15-24"	"Male"	"M"	"2019"	"2019"	67	501115	13.4
	"Arizona"	"04"	"15-24 years"	"15-24"	"Male"	"M"	"2020"	"2020"	95	506562	18.8
	"Arizona"	"04"	"15-24 years"	"15-24"	"Male"	"M"	"2021"	"2021"	95	500567	19.0
	"Arizona"	"04"	"15-24 years"	"15-24"	"Male"	"M"	"2022 "	"2022"	95	520774	18.2
	"Arizona"	"04"	"25-34 years"	"25-34"	"Female"	"F"	"2018"	"2018"	11	474481	Unreliable
	"Arizona"	"04"	"25-34 years"	"25-34"	"Female"	"F"	"2019"	"2019"	13	484280	Unreliable
	"Arizona"	"04"	"25-34 years"	"25-34"	"Female"	"F"	"2020"	"2020"	21	495823	4.2
	"Arizona"	"04"	"25-34 years"	"25-34"	"Female"	"F"	"2021"	"2021"	23	483509	4.8
	"Arizona"	"04"	"25-34 years"	"25-34"	"Female"	"F"	"2022 "	"2022"	16	489235	Unreliable
	"Arizona"	"04"	"25-34 years"	"25-34"	"Male"	"M"	"2018"	"2018"	95	511364	18.6
	"Arizona"	"04"	"25-34 years"	"25-34"	"Male"	"M"	"2019"	"2019"	113	522813	21.6
	"Arizona"	"04"	"25-34 years"	"25-34"	"Male"	"M"	"2020"	"2020"	122	535007	22.8
	"Arizona"	"04"	"25-34 years"	"25-34"	"Male"	"M"	"2021"	"2021"	121	517583	23.4
	"Arizona"	"04"	"25-34 years"	"25-34"	"Male"	"M"	"2022 "	"2022"	127	529097	24.0
	"Arizona"	"04"	"35-44 years"	"35-44"	"Female"	"F"	"2018"	"2018"	18	434958	Unreliable
	"Arizona"	"04"	"35-44 years"	"35-44"	"Female"	"F"	"2019"	"2019"	18	442046	Unreliable
	"Arizona"	"04"	"35-44 years"	"35-44"	"Female"	"F"	"2020"	"2020"	23	450370	5.1
	"Arizona"	"04"	"35-44 years"	"35-44"	"Female"	"F"	"2021"	"2021"	18	446725	Unreliable
	"Arizona"	"04"	"35-44 years"	"35-44"	"Female"	"F"	"2022 "	"2022"	26	449148	5.8
	"Arizona"	"04"	"35-44 years"	"35-44"	"Male"	"M"	"2018"	"2018"	66	445473	14.8
	"Arizona"	"04"	"35-44 years"	"35-44"	"Male"	"M"	"2019"	"2019"	89	453981	19.6
	"Arizona"	"04"	"35-44 years"	"35-44"	"Male"	"M"	"2020"	"2020"	74	463546	16.0
	"Arizona"	"04"	"35-44 years"	"35-44"	"Male"	"M"	"2021"	"2021"	97	468467	20.7
	"Arizona"	"04"	"35-44 years"	"35-44"	"Male"	"M"	"2022 "	"2022"	114	476908	23.9
	"Arizona"	"04"	"45-54 years"	"45-54"	"Female"	"F"	"2018"	"2018"	18	429406	Unreliable
	"Arizona"	"04"	"45-54 years"	"45-54"	"Female"	"F"	"2019"	"2019"	28	429646	6.5
	"Arizona"	"04"	"45-54 years"	"45-54"	"Female"	"F"	"2020"	"2020"	15	433764	Unreliable
	"Arizona"	"04"	"45-54 years"	"45-54"	"Female"	"F"	"2021"	"2021"	24	423119	5.7
	"Arizona"	"04"	"45-54 years"	"45-54"	"Female"	"F"	"2022 "	"2022"	15	423304	Unreliable
	"Arizona"	"04"	"45-54 years"	"45-54"	"Male"	"M"	"2018"	"2018"	96	421384	22.8
	"Arizona"	"04"	"45-54 years"	"45-54"	"Male"	"M"	"2019"	"2019"	91	422444	21.5
	"Arizona"	"04"	"45-54 years"	"45-54"	"Male"	"M"	"2020"	"2020"	94	425920	22.1
	"Arizona"	"04"	"45-54 years"	"45-54"	"Male"	"M"	"2021"	"2021"	84	424562	19.8
	"Arizona"	"04"	"45-54 years"	"45-54"	"Male"	"M"	"2022 "	"2022"	102	428586	23.8
	"Arizona"	"04"	"55-64 years"	"55-64"	"Female"	"F"	"2018"	"2018"	17	453093	Unreliable
	"Arizona"	"04"	"55-64 years"	"55-64"	"Female"	"F"	"2019"	"2019"	19	460049	Unreliable
	"Arizona"	"04"	"55-64 years"	"55-64"	"Female"	"F"	"2020"	"2020"	28	466773	6.0
	"Arizona"	"04"	"55-64 years"	"55-64"	"Female"	"F"	"2021"	"2021"	23	452647	5.1
	"Arizona"	"04"	"55-64 years"	"55-64"	"Female"	"F"	"2022 "	"2022"	25	446674	5.6
	"Arizona"	"04"	"55-64 years"	"55-64"	"Male"	"M"	"2018"	"2018"	129	413184	31.2
	"Arizona"	"04"	"55-64 years"	"55-64"	"Male"	"M"	"2019"	"2019"	102	420745	24.2
	"Arizona"	"04"	"55-64 years"	"55-64"	"Male"	"M"	"2020"	"2020"	108	428136	25.2
	"Arizona"	"04"	"55-64 years"	"55-64"	"Male"	"M"	"2021"	"2021"	110	427238	25.7
	"Arizona"	"04"	"55-64 years"	"55-64"	"Male"	"M"	"2022 "	"2022"	146	425289	34.3
	"Arizona"	"04"	"65-74 years"	"65-74"	"Female"	"F"	"2018"	"2018"	17	386574	Unreliable
	"Arizona"	"04"	"65-74 years"	"65-74"	"Female"	"F"	"2019"	"2019"	19	401078	Unreliable
	"Arizona"	"04"	"65-74 years"	"65-74"	"Female"	"F"	"2020"	"2020"	13	420854	Unreliable
	"Arizona"	"04"	"65-74 years"	"65-74"	"Female"	"F"	"2021"	"2021"	16	415187	Unreliable
	"Arizona"	"04"	"65-74 years"	"65-74"	"Female"	"F"	"2022 "	"2022"	18	415285	Unreliable
	"Arizona"	"04"	"65-74 years"	"65-74"	"Male"	"M"	"2018"	"2018"	115	339588	33.9
	"Arizona"	"04"	"65-74 years"	"65-74"	"Male"	"M"	"2019"	"2019"	91	350621	26.0
	"Arizona"	"04"	"65-74 years"	"65-74"	"Male"	"M"	"2020"	"2020"	85	366051	23.2
	"Arizona"	"04"	"65-74 years"	"65-74"	"Male"	"M"	"2021"	"2021"	118	367813	32.1
	"Arizona"	"04"	"65-74 years"	"65-74"	"Male"	"M"	"2022 "	"2022"	128	365422	35.0
	"Arizona"	"04"	"75-84 years"	"75-84"	"Female"	"F"	"2018"	"2018"	Suppressed	208008	Suppressed
	"Arizona"	"04"	"75-84 years"	"75-84"	"Female"	"F"	"2019"	"2019"	Suppressed	220061	Suppressed
	"Arizona"	"04"	"75-84 years"	"75-84"	"Female"	"F"	"2020"	"2020"	10	232794	Unreliable
	"Arizona"	"04"	"75-84 years"	"75-84"	"Female"	"F"	"2021"	"2021"	Suppressed	222181	Suppressed
	"Arizona"	"04"	"75-84 years"	"75-84"	"Female"	"F"	"2022 "	"2022"	Suppressed	242889	Suppressed
	"Arizona"	"04"	"75-84 years"	"75-84"	"Male"	"M"	"2018"	"2018"	74	181805	40.7
	"Arizona"	"04"	"75-84 years"	"75-84"	"Male"	"M"	"2019"	"2019"	87	191136	45.5
	"Arizona"	"04"	"75-84 years"	"75-84"	"Male"	"M"	"2020"	"2020"	85	202178	42.0
	"Arizona"	"04"	"75-84 years"	"75-84"	"Male"	"M"	"2021"	"2021"	88	194174	45.3
	"Arizona"	"04"	"75-84 years"	"75-84"	"Male"	"M"	"2022 "	"2022"	106	209430	50.6
	"Arkansas"	"05"	"5-14 years"	"5-14"	"Female"	"F"	"2018"	"2018"	Suppressed	192507	Suppressed
	"Arkansas"	"05"	"5-14 years"	"5-14"	"Female"	"F"	"2019"	"2019"	0	191932	Unreliable
	"Arkansas"	"05"	"5-14 years"	"5-14"	"Female"	"F"	"2020"	"2020"	Suppressed	192001	Suppressed
